                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81258,                0.48937,                0.91296,                0.88816,                0.78454,                0.87347,                0.61054,                0.77502,                0.44823,                0.90607,               0.008845,               0.008845,               0.008845
                     38,                0.81377,                0.48623,                0.91167,                0.89423,                 0.7775,                0.86867,                0.61198,                0.76848,                0.44803,                0.90818,               0.008812,               0.008812,               0.008812
                     39,                0.80598,                 0.4835,                 0.9069,                0.90282,                0.79261,                0.87636,                0.62183,                0.75825,                0.44373,                0.90034,               0.008779,               0.008779,               0.008779
                     40,                0.80258,                0.47981,                0.90801,                0.88763,                0.79839,                0.87831,                0.61965,                0.76258,                 0.4398,                0.90708,               0.008746,               0.008746,               0.008746
                     41,                 0.8082,                0.48326,                 0.9089,                0.89295,                0.79332,                0.87305,                0.61704,                0.75671,                0.43887,                 0.9023,               0.008713,               0.008713,               0.008713
                     42,                0.79696,                0.47554,                0.90614,                0.88592,                0.79801,                0.88059,                0.62631,                0.75066,                0.43124,                  0.902,                0.00868,                0.00868,                0.00868
                     43,                 0.7897,                0.47399,                 0.9037,                0.89415,                0.79199,                0.87756,                0.62288,                0.75099,                0.43654,                0.89934,               0.008647,               0.008647,               0.008647
                     44,                0.79492,                0.47501,                0.90277,                0.89049,                0.79751,                0.88049,                0.62571,                0.74884,                0.43017,                0.89885,               0.008614,               0.008614,               0.008614
                     45,                0.79028,                0.47185,                0.90255,                0.89935,                0.79444,                0.88037,                0.62628,                0.74865,                0.42873,                0.89535,               0.008581,               0.008581,               0.008581
                     46,                0.77898,                0.46507,                0.90077,                0.88868,                0.79764,                 0.8782,                0.62447,                0.74696,                0.42928,                0.89987,               0.008548,               0.008548,               0.008548
                     47,                0.78034,                0.46471,                0.90197,                0.89786,                 0.7997,                0.88432,                0.63237,                0.73969,                0.42853,                0.89985,               0.008515,               0.008515,               0.008515
                     48,                0.77742,                0.46309,                0.90149,                0.87389,                 0.8109,                0.88446,                0.63349,                0.73261,                 0.4214,                0.89628,               0.008482,               0.008482,               0.008482
                     49,                0.77401,                0.46054,                0.90147,                0.90335,                0.80036,                0.88539,                 0.6369,                0.73304,                 0.4183,                0.89705,               0.008449,               0.008449,               0.008449
                     50,                0.77091,                0.45796,                0.89718,                0.89585,                0.80415,                0.88694,                0.63451,                0.72688,                0.41884,                0.89492,               0.008416,               0.008416,               0.008416
                     51,                0.76412,                0.45688,                0.89529,                 0.8881,                0.81526,                0.88764,                0.63631,                0.73118,                0.41614,                0.89642,               0.008383,               0.008383,               0.008383
                     52,                0.76072,                0.45408,                0.89753,                0.89566,                0.81038,                0.88852,                0.63901,                 0.7267,                0.41612,                0.89549,                0.00835,                0.00835,                0.00835
                     53,                0.76225,                0.45498,                 0.8946,                0.89395,                0.81582,                 0.8888,                0.63575,                0.72651,                0.41516,                0.89223,               0.008317,               0.008317,               0.008317
                     54,                0.75536,                0.45114,                0.89317,                0.89394,                0.81753,                0.89275,                0.64259,                0.72132,                0.41235,                0.89251,               0.008284,               0.008284,               0.008284
                     55,                0.75632,                0.45011,                0.89224,                0.91433,                0.80348,                0.89039,                0.64327,                0.71877,                 0.4083,                0.89216,               0.008251,               0.008251,               0.008251
                     56,                0.74431,                0.44267,                0.89038,                0.89701,                0.81201,                  0.891,                0.64753,                0.71457,                0.40714,                0.89023,               0.008218,               0.008218,               0.008218
                     57,                0.75111,                0.44627,                0.89376,                0.89502,                0.81285,                0.89076,                0.64239,                 0.7164,                0.41026,                0.88929,               0.008185,               0.008185,               0.008185
                     58,                0.74387,                0.43943,                0.89073,                0.90382,                0.81245,                0.89092,                0.64881,                0.71056,                0.40321,                0.88873,               0.008152,               0.008152,               0.008152
                     59,                0.74495,                0.44015,                0.88894,                0.90688,                0.81731,                0.89347,                0.65026,                 0.7076,                0.40086,                 0.8863,               0.008119,               0.008119,               0.008119
                     60,                0.74525,                0.44056,                 0.8884,                0.89732,                0.82275,                0.89548,                0.64821,                 0.7092,                 0.4005,                0.88452,               0.008086,               0.008086,               0.008086
                     61,                0.73919,                0.44038,                0.88941,                0.88718,                0.83144,                0.89796,                0.65284,                0.70818,                0.40037,                0.88327,               0.008053,               0.008053,               0.008053
                     62,                0.73582,                0.43488,                0.88413,                0.89945,                0.81914,                0.89616,                0.64774,                0.70404,                0.40286,                0.87969,                0.00802,                0.00802,                0.00802
                     63,                0.73308,                 0.4348,                0.88618,                0.90242,                0.82487,                0.89952,                0.65732,                0.69277,                0.39593,                0.88245,               0.007987,               0.007987,               0.007987
                     64,                 0.7339,                0.43777,                0.88631,                0.89125,                 0.8379,                0.90082,                0.65668,                0.69514,                0.39615,                0.88214,               0.007954,               0.007954,               0.007954
                     65,                0.72596,                0.43042,                0.88367,                0.90509,                0.82721,                0.90271,                0.65938,                0.69542,                0.39286,                0.88203,               0.007921,               0.007921,               0.007921
                     66,                0.72393,                0.43034,                 0.8825,                0.89823,                0.83744,                0.90202,                0.65816,                0.69296,                0.39381,                0.88232,               0.007888,               0.007888,               0.007888
                     67,                0.72479,                0.42994,                0.88153,                0.90538,                0.82481,                0.90085,                0.66082,                 0.6881,                0.38973,                0.88094,               0.007855,               0.007855,               0.007855
                     68,                0.71994,                0.42734,                0.88348,                0.91453,                0.81844,                0.89995,                0.66106,                0.68492,                0.39014,                0.88232,               0.007822,               0.007822,               0.007822
                     69,                0.71981,                0.42521,                0.88152,                0.91409,                0.83141,                0.90556,                0.66603,                0.68096,                0.38698,                0.88046,               0.007789,               0.007789,               0.007789
                     70,                0.71621,                0.42285,                0.88215,                0.92056,                 0.8197,                 0.9043,                0.66252,                0.68199,                 0.3866,                0.88115,               0.007756,               0.007756,               0.007756
